Designator,Mid X,Mid Y,Rotation,Layer
C1,19.110896,28.694833,180.0,bottom
C10,3.362743,9.861423,90.0,bottom
C12,4.3,22.0,270.0,bottom
C13,-2.4,21.0,270.0,bottom
C14,5.0,17.17486,0.0,bottom
C15,-6.57,18.59,0.0,bottom
C16,-7.0,12.0,0.0,bottom
C17,-4.6,9.610001,270.0,bottom
C18,-3.6,9.610001,270.0,bottom
C19,-22.481001,15.797703,0.0,bottom
C2,5.75,20.02,270.0,bottom
C21,14.677531,2.645723,180.0,bottom
C22,20.111465,8.045723,180.0,bottom
C23,14.681464,6.845724,0.0,bottom
C24,23.261465,8.245723,0.0,bottom
C25,19.261464,0.700862,0.0,bottom
C26,19.261464,-0.299138,0.0,bottom
C27,19.132277,-12.835566,0.0,bottom
C28,24.4,-12.7,180.0,bottom
C29,21.661465,-14.454277,270.0,bottom
C3,1.9,10.080624,0.0,bottom
C30,22.161466,-15.954276,180.0,bottom
C31,22.241463,-18.954276,180.0,bottom
C32,2.481088,0.543838,90.0,bottom
C33,-5.6,1.399999,270.0,bottom
C34,7.25,-7.5,90.0,bottom
C35,3.25,-7.5,270.0,bottom
C36,-4.75,-7.5,270.0,bottom
C37,-2.75,-7.5,270.0,bottom
C38,-0.75,-7.5,270.0,bottom
C39,1.25,-7.5,270.0,bottom
C4,0.0,10.066482,180.0,bottom
C40,5.25,-7.5,270.0,bottom
C41,9.5,-7.5,270.0,bottom
C42,-7.77,28.1,180.0,bottom
C43,-9.77,28.1,180.0,bottom
C44,4.996124,18.59,180.0,bottom
C45,20.761464,-3.699137,270.0,bottom
C47,20.311465,-5.099137,0.0,bottom
C48,20.761464,-6.499137,270.0,bottom
C49,20.311465,-9.754277,0.0,bottom
C5,5.249002,27.6,270.0,bottom
C50,22.711464,-0.899138,90.0,bottom
C51,21.761464,-0.899138,90.0,bottom
C53,16.536464,-0.099138,0.0,bottom
C54,-17.987999,-10.075999,90.0,bottom
C55,-16.636999,-9.475,90.0,bottom
C56,-15.24,-10.076,270.0,bottom
C57,-14.351,10.684,180.0,bottom
C58,-11.303,6.089,270.0,bottom
C6,5.75,22.02,90.0,bottom
C60,-20.066,7.128,90.0,bottom
C61,-21.59,7.128,90.0,bottom
C62,-9.271,6.089,270.0,bottom
C63,-7.239,6.089,270.0,bottom
C64,-12.827,6.084,270.0,bottom
C66,-23.325623,20.847476,225.0,bottom
C67,-21.225623,20.147476,225.0,bottom
C68,-18.274228,19.5,0.0,bottom
C69,13.479429,-29.129162,180.0,bottom
C7,2.203417,27.6,270.0,bottom
C72,5.134966,3.436887,90.0,bottom
C73,7.884966,15.436887,90.0,bottom
C74,7.822562,12.936887,90.0,bottom
C8,4.362742,9.861422,270.0,bottom
D1,-20.45,-11.5,180.0,bottom
D2,-24.481002,13.257702,0.0,bottom
D23,-20.45,-9.5,0.0,bottom
D3,-3.1,1.399999,270.0,bottom
D4,-3.1,-2.1,270.0,bottom
D5,-5.6,-2.1,90.0,bottom
J1,-28.708098,-7.02514,90.0,bottom
J2,0.0,-14.3675,180.0,bottom
J9,-26.615034,-16.813113,0.0,bottom
L1,15.692758,28.72736,180.0,bottom
L10,20.761464,-8.354276,270.0,bottom
L11,20.761465,0.200862,270.0,bottom
L12,22.261465,0.500862,0.0,bottom
L13,0.0,-38.262602,0.0,bottom
L14,4.634966,13.186887,90.0,bottom
L2,3.708364,28.064011,0.0,bottom
L3,6.134966,13.171887,270.0,bottom
L4,-15.875,-0.238,0.0,bottom
L5,20.156332,9.637398,180.0,bottom
L6,20.296464,-1.299137,180.0,bottom
L7,19.761464,-3.699138,270.0,bottom
L8,21.761464,-17.454277,270.0,bottom
L9,-9.0,-0.4,270.0,bottom
LED1,11.690001,22.746268,0.0,top
N1,0.0,3.3,0.0,top
Q1,-22.606,2.683,270.0,bottom
Q2,-10.0,-7.5,270.0,bottom
R1,-26.615034,0.186887,0.0,bottom
R10,24.4,-11.7,0.0,bottom
R11,-7.0,-7.5,270.0,bottom
R12,-12.5,-7.490001,270.0,bottom
R14,-22.625623,21.547476,45.0,bottom
R15,2.541902,3.935001,90.0,bottom
R16,-21.925623,19.447476,45.0,bottom
R17,-11.0865,9.391,0.0,bottom
R18,-10.940013,-18.425964,90.0,bottom
R19,11.231169,-22.0,90.0,bottom
R2,-26.615034,-0.813113,0.0,bottom
R20,0.953417,22.202334,270.0,bottom
R21,12.5,-22.0,90.0,bottom
R22,-12.140013,-18.425964,90.0,bottom
R23,-14.640013,-18.425964,90.0,bottom
R24,-12.827,10.0115,90.0,bottom
R25,-17.524001,-4.175,0.0,bottom
R26,-15.238,-4.175,180.0,bottom
R27,-13.440013,-18.425964,90.0,bottom
R28,-15.840013,-18.425964,90.0,bottom
R29,-5.49,22.77486,180.0,bottom
R3,-7.0,14.0,0.0,bottom
R30,-5.15,24.87486,180.0,bottom
R31,21.668831,-21.752603,90.0,bottom
R32,18.393418,-29.037667,180.0,bottom
R33,-20.954228,10.174105,0.0,bottom
R4,-7.0,13.0,0.0,bottom
R5,-26.291001,15.797703,180.0,bottom
R6,11.7,22.873268,0.0,bottom
R7,11.7,21.773268,180.0,bottom
R8,11.7,23.973269,180.0,bottom
R9,19.132277,-11.735565,180.0,bottom
RF1,21.66883,-24.742602,0.0,bottom
RF2,-9.187401,24.038067,315.0,bottom
RF3,1.053417,24.662333,180.0,bottom
SW1,25.734966,14.512333,270.0,bottom
SW2,-20.421479,29.403454,122.0,bottom
SW3,-14.172626,-24.724784,315.0,top
SW6,6.5,-26.162602,180.0,top
SW8,16.5,-26.162602,180.0,top
U2,21.661465,-11.954277,0.0,bottom
U3,22.193966,4.445723,180.0,bottom
U4,-16.807,-6.592,90.0,bottom
U5,-12.523878,17.59,180.0,bottom
U6,-1.05,15.58,90.0,bottom
U7,-15.875,6.874,270.0,bottom
X1,8.0,21.2,90.0,bottom
X2,14.761464,4.795723,90.0,bottom
X3,0.749295,8.118398,180.0,bottom
